Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
1968	0,002497	0,000145	0,000292	0,000297	0,000040	0,003277	0,000003			
1992	0,001790	0,000112	0,000214	0,000305	0,000041	0,002467	0,000002			
2016	0,002691	0,000142	0,000315	0,000307	0,000041	0,003503	0,000003			
2040	0,002748	0,000140	0,000323	0,000312	0,000041	0,003570	0,000002			
2064	0,002390	0,000140	0,000283	0,000321	0,000043	0,003184	0,000004			
2088	0,002156	0,000144	0,000260	0,000322	0,000043	0,002932	0,000004			
2112	0,001778	0,000147	0,000184	0,000326	0,000043	0,002484	0,000004			
2136	0,002758	0,000140	0,000325	0,000328	0,000043	0,003600	0,000004			
2160	0,002026	0,000156	0,000222	0,000334	0,000043	0,002787	0,000004			
2184	0,001957	0,000167	0,000221	0,000338	0,000045	0,002735	0,000004			
2208	0,001877	0,000156	0,000207	0,000341	0,000045	0,002633	0,000004			
2232	0,001550	0,000099	0,000180	0,000349	0,000045	0,002230	0,000004			
2256	0,001981	0,000134	0,000223	0,000354	0,000045	0,002743	0,000004			
2280	0,002507	0,000142	0,000297	0,000357	0,000046	0,003354	0,000004			
2304	0,002692	0,000137	0,000315	0,000363	0,000047	0,003560	0,000004			
2328	0,002722	0,000140	0,000314	0,000368	0,000047	0,003597	0,000004			
2352	0,001749	0,000148	0,000184	0,000374	0,000048	0,002509	0,000004			
2376	0,002327	0,000146	0,000266	0,000378	0,000048	0,003171	0,000004			
2400	0,002647	0,000157	0,000309	0,000394	0,000050	0,003565	0,000004			
2424	0,001831	0,000165	0,000195	0,000393	0,000049	0,002639	0,000004			
2448	0,001479	0,000127	0,000168	0,000396	0,000049	0,002226	0,000004			
2472	0,002276	0,000145	0,000252	0,000402	0,000051	0,003133	0,000004			
2496	0,002283	0,000137	0,000259	0,000409	0,000051	0,003145	0,000004			
2520	0,002140	0,000145	0,000244	0,000407	0,000051	0,002994	0,000004			
2544	0,002714	0,000145	0,000320	0,000414	0,000051	0,003652	0,000004			
2568	0,002781	0,000153	0,000323	0,000419	0,000052	0,003735	0,000004			
2592	0,001974	0,000156	0,000226	0,000438	0,000054	0,002855	0,000004			
2616	0,002664	0,000143	0,000315	0,000430	0,000054	0,003612	0,000004			
2640	0,001940	0,000161	0,000208	0,000436	0,000054	0,002806	0,000004			
2664	0,002770	0,000140	0,000316	0,000440	0,000054	0,003726	0,000004			
2688	0,002653	0,000136	0,000306	0,000446	0,000054	0,003601	0,000004			
2712	0,001964	0,000137	0,000223	0,000450	0,000055	0,002834	0,000004			
2736	0,002044	0,000133	0,000230	0,000454	0,000056	0,002923	0,000004			
2760	0,002724	0,000146	0,000315	0,000461	0,000056	0,003708	0,000004			
2784	0,002811	0,000142	0,000331	0,000473	0,000057	0,003821	0,000004			
2808	0,002207	0,000165	0,000250	0,000480	0,000059	0,003167	0,000004			
2832	0,002676	0,000142	0,000310	0,000483	0,000058	0,003674	0,000004			
2856	0,001871	0,000151	0,000202	0,000486	0,000060	0,002777	0,000004			
2880	0,001697	0,000176	0,000196	0,000495	0,000059	0,002630	0,000004			
2904	0,002119	0,000149	0,000238	0,000501	0,000060	0,003073	0,000004			
2928	0,002401	0,000152	0,000276	0,000503	0,000060	0,003398	0,000004			
2952	0,001794	0,000135	0,000198	0,000505	0,000060	0,002699	0,000004			
2976	0,001500	0,000100	0,000176	0,000516	0,000061	0,002360	0,000004			
3000	0,001849	0,000165	0,000202	0,000518	0,000061	0,002803	0,000004			
3024	0,002651	0,000150	0,000295	0,000530	0,000062	0,003695	0,000004			
3048	0,002189	0,000162	0,000241	0,000528	0,000062	0,003188	0,000004			
3072	0,001730	0,000132	0,000186	0,000544	0,000064	0,002664	0,000004			
3096	0,002828	0,000141	0,000322	0,000547	0,000063	0,003907	0,000005			
3120	0,002602	0,000143	0,000293	0,000546	0,000064	0,003655	0,000004			
3144	0,002626	0,000146	0,000294	0,000556	0,000065	0,003693	0,000005			
3168	0,001992	0,000162	0,000216	0,000558	0,000065	0,003001	0,000005			
3192	0,001497	0,000132	0,000169	0,000566	0,000066	0,002436	0,000005			
3216	0,002023	0,000156	0,000231	0,000575	0,000067	0,003059	0,000005			
3240	0,002270	0,000153	0,000263	0,000596	0,000069	0,003359	0,000005			
3264	0,002861	0,000140	0,000323	0,000581	0,000067	0,003979	0,000005			
3288	0,001646	0,000112	0,000191	0,000592	0,000069	0,002615	0,000005			
3312	0,002835	0,000140	0,000322	0,000594	0,000068	0,003966	0,000005			
3336	0,002678	0,000144	0,000302	0,000602	0,000069	0,003801	0,000005			
3360	0,002266	0,000150	0,000250	0,000611	0,000070	0,003354	0,000005			
3384	0,002863	0,000140	0,000324	0,000617	0,000070	0,004021	0,000005			
3408	0,001715	0,000173	0,000203	0,000618	0,000070	0,002786	0,000005			
3432	0,002785	0,000166	0,000427	0,000623	0,000071	0,004079	0,000005			
3456	0,002876	0,000164	0,000430	0,000639	0,000072	0,004187	0,000005			
3480	0,003063	0,000165	0,000480	0,000641	0,000072	0,004427	0,000005			
3504	0,003046	0,000164	0,000472	0,000654	0,000073	0,004416	0,000005			
3528	0,001982	0,000176	0,000253	0,000659	0,000073	0,003151	0,000005			
3552	0,002786	0,000168	0,000419	0,000663	0,000074	0,004117	0,000005			
3576	0,003064	0,000165	0,000481	0,000667	0,000074	0,004458	0,000005			
3600	0,003013	0,000167	0,000465	0,000680	0,000075	0,004406	0,000005			
3624	0,003056	0,000165	0,000476	0,000675	0,000075	0,004454	0,000005			
